"unixtime","datetime","date","ws","wd","co2","temp"
1625605891,2021-07-06 21:11:31,"07/06/2021 21:11",2.01,64,483,43
1625605894,2021-07-06 21:11:34,"07/06/2021 21:11",2.01,61,463,43
1625605897,2021-07-06 21:11:37,"07/06/2021 21:11",2.35,62,410,43
1625605900,2021-07-06 21:11:40,"07/06/2021 21:11",2.35,81,453,43
1625605903,2021-07-06 21:11:43,"07/06/2021 21:11",2.68,59,456,43
1625605906,2021-07-06 21:11:46,"07/06/2021 21:11",3.35,60,422,43
1625605909,2021-07-06 21:11:49,"07/06/2021 21:11",4.36,60,438,43
1625605912,2021-07-06 21:11:52,"07/06/2021 21:11",4.36,62,308,43
1625605915,2021-07-06 21:11:55,"07/06/2021 21:11",4.36,58,544,43
1625605918,2021-07-06 21:11:58,"07/06/2021 21:11",5.03,60,356,43
1625605921,2021-07-06 21:12:01,"07/06/2021 21:12",4.69,58,445,42
1625605924,2021-07-06 21:12:04,"07/06/2021 21:12",4.36,60,282,42
1625605927,2021-07-06 21:12:07,"07/06/2021 21:12",4.36,57,478,42
1625605930,2021-07-06 21:12:10,"07/06/2021 21:12",3.69,24,561,42
1625605933,2021-07-06 21:12:13,"07/06/2021 21:12",3.02,57,554,42
1625605936,2021-07-06 21:12:16,"07/06/2021 21:12",3.69,52,473,42
1625605939,2021-07-06 21:12:19,"07/06/2021 21:12",3.35,50,417,42
1625605942,2021-07-06 21:12:22,"07/06/2021 21:12",3.02,51,418,42
1625605945,2021-07-06 21:12:25,"07/06/2021 21:12",3.02,27,438,42
1625605948,2021-07-06 21:12:28,"07/06/2021 21:12",2.68,38,430,42
1625605951,2021-07-06 21:12:31,"07/06/2021 21:12",3.69,33,480,42
1625605954,2021-07-06 21:12:34,"07/06/2021 21:12",3.35,24,444,42
1625605957,2021-07-06 21:12:37,"07/06/2021 21:12",4.02,27,465,42
