unixtime,ws,wd,co2,temp
1625607286,13,80,431,41
1625607289,13,67,400,41
1625607292,12,111,427,41
1625607295,13,186,444,41
1625607298,15,94,456,41
1625607301,11,140,421,41
1625607304,13,145,226,41
1625607307,13,106,500,41
1625607310,12,79,529,41
1625607313,13,137,278,41
1625607316,9,164,212,41
1625607319,11,131,473,41
1625607322,10,77,492,41
1625607325,8,66,425,41
1625607328,9,208,498,41
1625607331,7,56,472,41
1625607334,12,173,468,41
1625607337,11,68,479,41
1625607340,12,71,468,41
1625607343,13,53,473,41
1625607346,12,74,444,41
1625607349,11,81,360,41
1625607352,10,65,390,41
1625607355,9,106,360,41
1625607358,8,218,434,41
1625607361,10,175,445,41
1625607364,9,131,448,41
1625607367,7,107,458,41
1625607370,7,78,453,41
1625607373,8,36,471,41
1625607376,6,56,471,41
1625607379,6,116,464,41
1625607382,8,172,467,41
1625607385,8,172,462,41
1625607388,6,200,460,41
1625607391,6,123,462,41
1625607394,5,73,455,41
1625607397,7,117,452,41
1625607400,7,140,448,41
1625607403,7,136,441,41
1625607406,8,140,445,41
1625607409,7,103,461,41
1625607412,6,118,462,41
1625607415,5,45,452,41
1625607418,8,87,451,41
1625607421,7,81,452,41
1625607424,7,73,450,41
1625607427,7,71,452,41
1625607430,8,81,450,41
1625607433,9,81,438,41
1625607436,12,77,444,41
1625607439,13,118,436,41
1625607442,14,118,440,41
1625607445,13,135,433,41
1625607448,13,90,440,41
1625607451,14,84,422,41
1625607454,13,113,416,41
1625607457,14,68,405,41
1625607460,15,30,399,41
1625607463,11,85,437,41
1625607466,11,122,499,41
1625607469,17,149,353,41
1625607472,16,97,394,41
1625607475,12,115,459,40
1625607478,13,127,423,40
1625607481,14,71,410,40
1625607484,13,85,437,40
1625607487,13,108,426,40
1625607490,11,200,331,40
1625607493,11,87,389,41
1625607496,12,91,440,40
1625607499,8,57,517,40
1625607502,11,28,475,41
1625607505,9,136,553,40
1625607508,11,83,490,40
1625607511,10,55,405,41
1625607514,10,43,414,41
1625607517,10,87,399,41
1625607520,9,133,472,40
1625607523,9,78,406,41
1625607526,9,204,366,41
1625607529,8,210,489,41
1625607532,6,76,422,41
1625607535,6,86,382,41
1625607538,9,222,386,41
1625607541,9,60,406,41
1625607544,8,48,407,41
1625607547,10,46,345,41
1625607550,9,59,493,41
1625607553,9,40,488,41
1625607556,8,48,549,41
1625607559,6,46,558,41
1625607562,4,40,563,41
1625607565,5,48,410,41
1625607568,7,56,324,41
1625607571,9,48,418,41
1625607574,8,35,460,41
1625607577,10,140,448,41
1625607580,13,48,436,41
1625607583,11,29,437,41
1625607586,9,45,422,41
1625607589,9,34,416,41
1625607592,13,42,424,41
1625607595,12,41,431,41
1625607598,13,96,449,41
1625607601,9,99,456,41
1625607604,8,129,415,41
1625607607,10,111,372,41
1625607610,12,68,463,41
1625607613,12,111,575,41
1625607616,12,96,598,41
1625607619,12,103,568,41
1625607622,11,89,481,41
1625607625,7,61,329,41
1625607628,7,86,274,41
1625607631,10,135,339,41
1625607634,10,139,412,41
1625607637,11,83,369,41
1625607640,10,130,465,41
1625607643,11,99,438,41
1625607646,12,47,420,41
1625607649,12,55,473,41
1625607652,12,86,536,41
1625607655,10,94,495,41
1625607658,8,75,459,41
1625607661,9,53,432,41
1625607664,11,81,420,41
1625607667,12,80,447,41
1625607670,12,65,447,41
1625607673,12,83,450,41
1625607676,10,112,469,41
1625607679,8,115,449,41
1625607682,8,108,450,41
1625607685,9,46,439,41
1625607688,9,102,436,41
1625607691,9,94,438,41
1625607694,7,123,428,41
1625607697,10,105,425,41
1625607700,7,108,435,41
1625607703,6,126,448,41
1625607706,5,99,455,41
1625607709,5,69,409,41
1625607712,5,127,396,41
1625607715,3,160,518,41
1625607718,6,96,556,41
1625607721,6,91,490,41
1625607724,7,131,456,41
1625607727,6,121,472,41
1625607730,7,112,422,41
1625607733,8,119,459,41
1625607736,9,124,440,41
1625607739,7,117,484,41
1625607742,5,67,495,41
1625607745,3,56,494,41
1625607748,4,107,476,41
1625607751,3,237,342,41
1625607754,4,178,396,41
1625607757,9,228,258,41
1625607760,8,165,174,41
1625607763,6,166,323,41
1625607766,7,171,381,41
1625607769,9,236,346,41
1625607772,10,120,333,41
1625607775,8,100,466,41
1625607778,8,106,445,41
1625607781,8,136,502,41
1625607784,7,149,383,41
1625607787,8,159,404,41
1625607790,5,162,412,41
1625607793,4,104,373,41
1625607796,3,188,362,41
1625607799,3,191,429,41
1625607802,4,117,498,41
1625607805,7,162,415,41
1625607808,6,84,404,41
1625607811,5,89,369,41
1625607814,6,92,361,41
1625607817,7,80,383,41
1625607820,7,52,384,41
1625607823,6,93,404,41
1625607826,5,103,427,41
1625607829,5,120,457,42
1625607832,12,152,422,42
1625607835,9,164,368,41
1625607838,9,178,420,41
1625607841,8,135,493,41
1625607844,8,125,415,41
1625607847,8,111,395,41
1625607850,9,147,399,41
1625607853,8,102,403,41
1625607856,9,115,412,41
1625607859,7,171,430,41
1625607862,7,175,442,41
1625607865,6,222,429,42
1625607868,6,195,426,41
1625607871,7,183,434,41
1625607874,9,186,446,42
1625607877,8,189,430,41
1625607880,7,200,455,41
1625607883,8,172,499,41
1625607886,8,179,523,41
1625607889,6,179,371,41
1625607892,7,163,329,42
1625607895,6,173,354,42
1625607898,7,173,384,42
1625607901,6,171,417,42
1625607904,6,151,437,42
1625607907,5,167,455,42
1625607910,6,198,474,42
1625607913,8,54,489,42
1625607916,10,35,423,42
1625607919,7,28,395,42
1625607922,7,25,465,42
1625607925,6,43,408,42
1625607928,8,30,445,42
1625607931,9,63,408,42
1625607934,9,33,398,42
1625607937,9,26,383,42
1625607940,7,162,372,42
1625607943,6,65,372,42
1625607946,6,55,349,42
1625607949,5,150,379,42
1625607952,6,167,371,42
1625607955,9,60,350,42
1625607958,10,176,351,42
1625607961,9,196,338,42
1625607964,9,211,402,42
1625607967,8,153,414,42
1625607970,10,134,434,42
1625607973,13,144,421,42
1625607976,12,140,398,42
1625607979,10,210,480,41
1625607982,9,200,417,41
1625607985,10,162,486,41
1625607988,10,204,441,42
1625607991,9,206,375,41
1625607994,8,196,442,41
1625607997,8,190,473,41
1625608000,8,139,444,41
1625608003,9,109,429,41
1625608006,7,136,425,41
1625608009,7,120,393,41
1625608012,7,87,378,41
1625608015,7,99,368,42
1625608018,7,118,406,42
1625608021,6,116,398,42
1625608024,5,91,416,42
1625608027,4,59,386,42
1625608030,4,96,388,42
1625608033,5,116,390,42
1625608036,4,121,413,42
1625608039,5,55,430,42
1625608042,5,111,369,42
1625608045,7,48,368,42
1625608048,7,214,490,42
1625608051,5,91,591,42
1625608054,5,101,361,42
1625608057,4,96,368,42
1625608060,5,178,357,42
1625608063,4,184,374,42
1625608066,5,186,398,42
1625608069,4,114,441,42
1625608072,4,109,455,42
1625608075,5,78,480,42
1625608078,6,198,489,42
1625608081,6,99,479,42
1625608084,9,104,477,42
1625608087,10,100,473,42
1625608090,10,124,482,42
1625608093,9,126,464,42
1625608096,7,163,456,42
1625608099,7,165,444,42
1625608102,5,159,445,42
1625608105,3,132,456,42
1625608108,3,112,449,42
1625608111,3,121,460,42
1625608114,4,141,443,42
1625608117,2,108,462,42
1625608120,4,149,451,42
1625608123,3,215,408,42
