Running bytecode...,,,,,,,,,,
SCD Initializing,,,,,,,,,,
Instantiated FRAM,,,,,,,,,,
,,,,,,,,,,
Memory:       6896,,,,,,,,,,
RF identifier 2,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,
Hub Connect:  1,,,,,,,,,,
Transmit On:  1,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,
,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,
1,1,946692317,658,24,33,358,0,4368,0,3.23
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692320,0,0,0,358,0,6080,0,3.24
1,1,946692323,23,24,33,358,0,4368,0,3.22
1,1,946692326,422,24,33,358,0,4368,0,3.23
1,1,946692329,615,24,33,358,0,4368,0,3.11
1,1,946692332,641,24,33,359,0,4368,0,3.24
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692335,0,0,0,358,0,6080,0,3.22
1,1,946692338,9,24,33,359,0,4368,0,3.23
1,1,946692341,397,24,33,358,0,4368,0,3.23
1,1,946692344,629,24,33,358,0,4368,0,3.12
1,1,946692347,642,24,33,358,0,4368,0,3.24
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692350,0,0,0,358,0,6080,0,3.23
1,1,946692353,14,24,33,358,0,4368,0,3.22
1,1,946692356,385,24,33,358,0,4368,0,3.24
1,1,946692359,618,24,33,359,0,4368,0,3.11
1,1,946692362,660,24,33,359,0,4368,0,3.24
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692365,0,0,0,358,0,6080,0,3.24
1,1,946692368,19,24,33,358,0,4368,0,3.22
1,1,946692371,164,24,33,358,0,4368,0,3.24
1,1,946692374,0,24,33,358,0,4368,0,3.12
1,1,946692377,619,24,33,358,0,4368,0,3.23
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692380,0,0,0,358,0,6080,0,3.23
1,1,946692383,0,24,33,358,0,4368,0,3.21
1,1,946692386,583,24,33,358,0,4368,0,3.24
1,1,946692389,593,24,33,359,0,4368,0,3.14
1,1,946692392,622,24,33,358,0,4368,0,3.23
1,1,946692395,627,24,33,358,0,4368,0,3.23
1,1,946692398,625,24,33,358,0,4368,0,3.22
1,1,946692401,613,24,33,358,0,4368,0,3.23
1,1,946692404,611,24,33,358,0,4368,0,3.15
1,1,946692407,616,24,33,358,0,4368,0,3.23
1,1,946692410,617,24,33,358,0,4368,0,3.21
1,1,946692413,617,24,33,358,0,4368,0,3.22
1,1,946692416,619,24,33,358,0,4368,0,3.24
1,1,946692419,620,24,33,358,0,4368,0,3.15
1,1,946692422,619,24,33,358,0,4368,0,3.23
1,1,946692425,619,24,33,358,0,4368,0,3.22
1,1,946692428,616,24,33,358,0,4368,0,3.23
1,1,946692431,615,24,33,358,0,4368,0,3.24
1,1,946692434,615,24,33,358,0,4368,0,3.17
1,1,946692437,615,24,33,358,0,4368,0,3.23
1,1,946692440,614,24,33,358,0,4368,0,3.24
1,1,946692443,614,24,33,359,0,4368,0,3.22
1,1,946692446,614,24,33,359,0,4368,0,3.23
1,1,946692449,613,24,33,359,0,4368,0,3.2
1,1,946692452,612,24,33,358,0,4368,0,3.23
